Date,Date_time,value,actual
2021-09-15,2021-09-15 23:00:00-04:00,26844.396,24613.0
2021-09-13,2021-09-13 23:00:00-04:00,25904.867,23717.0
2021-09-08,2021-09-08 23:00:00-04:00,24899.709,23515.0
2021-09-14,2021-09-14 23:00:00-04:00,24603.988,22862.0
2021-09-23,2021-09-23 23:00:00-04:00,20490.416,22455.0
2021-09-22,2021-09-22 23:00:00-04:00,22853.406,22454.0
2021-09-18,2021-09-18 23:00:00-04:00,22190.703,21971.0
2021-09-17,2021-09-17 23:00:00-04:00,22206.242,21683.0
2021-09-07,2021-09-07 23:00:00-04:00,22266.55,21671.0
2021-09-16,2021-09-16 23:00:00-04:00,22045.727,21549.0
