,Unnamed: 0,utc_datetime,local_datetime,value,live,ensemblevalue
0,0,2021-09-10T04:00:00+00:00,2021-09-10T00:00:00-04:00,43369.258,44215,44033.62890625
1,1,2021-09-10T05:00:00+00:00,2021-09-10T01:00:00-04:00,40567.676,41669,41316.337890625
2,2,2021-09-10T06:00:00+00:00,2021-09-10T02:00:00-04:00,38396.66,39873,39321.330078125
3,3,2021-09-10T07:00:00+00:00,2021-09-10T03:00:00-04:00,37253.1,38787,38110.55078125
4,4,2021-09-10T08:00:00+00:00,2021-09-10T04:00:00-04:00,36510.82,38596,37617.91015625
5,5,2021-09-10T09:00:00+00:00,2021-09-10T05:00:00-04:00,37610.188,39506,38651.09375
6,6,2021-09-10T10:00:00+00:00,2021-09-10T06:00:00-04:00,38995.938,41706,40219.96875
7,7,2021-09-10T11:00:00+00:00,2021-09-10T07:00:00-04:00,39964.188,42389,41215.59375
8,8,2021-09-10T12:00:00+00:00,2021-09-10T08:00:00-04:00,40655.008,43539,41871.00390625
9,9,2021-09-10T13:00:00+00:00,2021-09-10T09:00:00-04:00,42684.22,46291,44499.609375
10,10,2021-09-10T14:00:00+00:00,2021-09-10T10:00:00-04:00,49463.895,49957,49532.947265625
11,11,2021-09-10T15:00:00+00:00,2021-09-10T11:00:00-04:00,56392.34,54033,54889.669921875
12,12,2021-09-10T16:00:00+00:00,2021-09-10T12:00:00-04:00,61371.758,57680,59221.37890625
13,13,2021-09-10T17:00:00+00:00,2021-09-10T13:00:00-04:00,65966.15,61310,62896.57421875
14,14,2021-09-10T18:00:00+00:00,2021-09-10T14:00:00-04:00,68727.24,64170,65646.62109375
15,15,2021-09-10T19:00:00+00:00,2021-09-10T15:00:00-04:00,69964.86,66151,67207.4296875
16,16,2021-09-10T20:00:00+00:00,2021-09-10T16:00:00-04:00,71524.055,67474,68475.02734375
17,17,2021-09-10T21:00:00+00:00,2021-09-10T17:00:00-04:00,71544.58,67180,68415.2890625
18,18,2021-09-10T22:00:00+00:00,2021-09-10T18:00:00-04:00,69363.31,64846,66101.65625
19,19,2021-09-10T23:00:00+00:00,2021-09-10T19:00:00-04:00,63869.74,61602,61876.369140625
20,20,2021-09-11T00:00:00+00:00,2021-09-10T20:00:00-04:00,61457.86,59148,58846.4296875
21,21,2021-09-11T01:00:00+00:00,2021-09-10T21:00:00-04:00,56460.93,55937,54830.96484375
22,22,2021-09-11T02:00:00+00:00,2021-09-10T22:00:00-04:00,50356.285,51784,49998.642578125
23,23,2021-09-11T03:00:00+00:00,2021-09-10T23:00:00-04:00,45896.93,47951,46176.46484375
0,0,2021-09-11T04:00:00+00:00,2021-09-11T00:00:00-04:00,42299.246,44537,43035.623046875
1,1,2021-09-11T05:00:00+00:00,2021-09-11T01:00:00-04:00,39836.715,42038,40534.857421875
2,2,2021-09-11T06:00:00+00:00,2021-09-11T02:00:00-04:00,38401.258,40217,38915.12890625
3,3,2021-09-11T07:00:00+00:00,2021-09-11T03:00:00-04:00,37120.992,39092,37454.49609375
4,4,2021-09-11T08:00:00+00:00,2021-09-11T04:00:00-04:00,35593.03,38792,36322.015625
5,5,2021-09-11T09:00:00+00:00,2021-09-11T05:00:00-04:00,35633.1,39590,36306.05078125
6,6,2021-09-11T10:00:00+00:00,2021-09-11T06:00:00-04:00,37395.992,41593,37383.99609375
7,7,2021-09-11T11:00:00+00:00,2021-09-11T07:00:00-04:00,38287.02,42199,37840.509765625
8,8,2021-09-11T12:00:00+00:00,2021-09-11T08:00:00-04:00,40426.07,43517,39477.03515625
9,9,2021-09-11T13:00:00+00:00,2021-09-11T09:00:00-04:00,42844.094,46203,42214.546875
10,10,2021-09-11T14:00:00+00:00,2021-09-11T10:00:00-04:00,48148.773,49620,46621.38671875
11,11,2021-09-11T15:00:00+00:00,2021-09-11T11:00:00-04:00,53267.297,53275,51254.1484375
