,Unnamed: 0,utc_datetime,local_datetime,value,live,ensemblevalue
0,0,2021-08-01T04:00:00+00:00,2021-08-01T00:00:00-04:00,15695.224,15222,15324.11182
1,1,2021-08-01T05:00:00+00:00,2021-08-01T01:00:00-04:00,14592.688,14578,14450.84424
2,2,2021-08-01T06:00:00+00:00,2021-08-01T02:00:00-04:00,14150.77,14109,13995.88477
3,3,2021-08-01T07:00:00+00:00,2021-08-01T03:00:00-04:00,13832.956,13808,13680.97803
4,4,2021-08-01T08:00:00+00:00,2021-08-01T04:00:00-04:00,13614.18,13652,13484.08984
5,5,2021-08-01T09:00:00+00:00,2021-08-01T05:00:00-04:00,13548.465,13630,13436.23242
6,6,2021-08-01T10:00:00+00:00,2021-08-01T06:00:00-04:00,13165.507,13667,13253.75342
7,7,2021-08-01T11:00:00+00:00,2021-08-01T07:00:00-04:00,13980.6045,14193,13889.30225
8,8,2021-08-01T12:00:00+00:00,2021-08-01T08:00:00-04:00,14907.379,14992,14754.18945
9,9,2021-08-01T13:00:00+00:00,2021-08-01T09:00:00-04:00,15634.334,15771,15483.16699
10,10,2021-08-01T14:00:00+00:00,2021-08-01T10:00:00-04:00,16258.379,16559,16158.68945
11,11,2021-08-01T15:00:00+00:00,2021-08-01T11:00:00-04:00,16747.467,17187,16771.7334
12,12,2021-08-01T16:00:00+00:00,2021-08-01T12:00:00-04:00,17041.686,17725,17230.84277
13,13,2021-08-01T17:00:00+00:00,2021-08-01T13:00:00-04:00,17531.668,17956,17719.83398
14,14,2021-08-01T18:00:00+00:00,2021-08-01T14:00:00-04:00,18434.012,18210,18355.00586
15,15,2021-08-01T19:00:00+00:00,2021-08-01T15:00:00-04:00,18915.594,18297,18733.79688
16,16,2021-08-01T20:00:00+00:00,2021-08-01T16:00:00-04:00,19692.451,18496,19263.72559
17,17,2021-08-01T21:00:00+00:00,2021-08-01T17:00:00-04:00,20261.92,18735,19664.45996
18,18,2021-08-01T22:00:00+00:00,2021-08-01T18:00:00-04:00,20121.783,18712,19481.3916
19,19,2021-08-01T23:00:00+00:00,2021-08-01T19:00:00-04:00,19630.229,18488,19081.11426
20,20,2021-08-02T00:00:00+00:00,2021-08-01T20:00:00-04:00,19178.684,18442,18905.3418
21,21,2021-08-02T01:00:00+00:00,2021-08-01T21:00:00-04:00,18732.64,18067,18472.82031
22,22,2021-08-02T02:00:00+00:00,2021-08-01T22:00:00-04:00,18019.035,17226,17647.01758
23,23,2021-08-02T03:00:00+00:00,2021-08-01T23:00:00-04:00,17056.553,16258,16675.77637
0,0,2021-08-02T04:00:00+00:00,2021-08-02T00:00:00-04:00,15161.436,15465,15031.71777
1,1,2021-08-02T05:00:00+00:00,2021-08-02T01:00:00-04:00,14740.515,14858,14555.25732
2,2,2021-08-02T06:00:00+00:00,2021-08-02T02:00:00-04:00,14327.259,14454,14163.62939
3,3,2021-08-02T07:00:00+00:00,2021-08-02T03:00:00-04:00,14280.14,14179,14051.06982
4,4,2021-08-02T08:00:00+00:00,2021-08-02T04:00:00-04:00,14142.977,14175,14038.98828
5,5,2021-08-02T09:00:00+00:00,2021-08-02T05:00:00-04:00,14575.633,14650,14510.31641
6,6,2021-08-02T10:00:00+00:00,2021-08-02T06:00:00-04:00,15908.72,15470,15579.35986
7,7,2021-08-02T11:00:00+00:00,2021-08-02T07:00:00-04:00,17323.826,16638,16795.41309
8,8,2021-08-02T12:00:00+00:00,2021-08-02T08:00:00-04:00,18134.938,17575,17661.46875
9,9,2021-08-02T13:00:00+00:00,2021-08-02T09:00:00-04:00,18433.174,18207,18104.58691
10,10,2021-08-02T14:00:00+00:00,2021-08-02T10:00:00-04:00,18780.7,18674,18515.34961
11,11,2021-08-02T15:00:00+00:00,2021-08-02T11:00:00-04:00,19150.615,19098,18958.30762
12,12,2021-08-02T16:00:00+00:00,2021-08-02T12:00:00-04:00,19982.068,19475,19599.53418
13,13,2021-08-02T17:00:00+00:00,2021-08-02T13:00:00-04:00,20355.688,19781,20032.34375
14,14,2021-08-02T18:00:00+00:00,2021-08-02T14:00:00-04:00,20792.777,20100,20417.88867
15,15,2021-08-02T19:00:00+00:00,2021-08-02T15:00:00-04:00,21232.943,20500,20818.97168
16,16,2021-08-02T20:00:00+00:00,2021-08-02T16:00:00-04:00,21849.895,20965,21340.44727
17,17,2021-08-02T21:00:00+00:00,2021-08-02T17:00:00-04:00,22011.93,21343,21613.46484
18,18,2021-08-02T22:00:00+00:00,2021-08-02T18:00:00-04:00,22091.889,21277,21489.44434
19,19,2021-08-02T23:00:00+00:00,2021-08-02T19:00:00-04:00,20988.24,20730,20603.12012
20,20,2021-08-03T00:00:00+00:00,2021-08-02T20:00:00-04:00,20494.242,20114,20170.62109
21,21,2021-08-03T01:00:00+00:00,2021-08-02T21:00:00-04:00,19683.984,19424,19385.99219
22,22,2021-08-03T02:00:00+00:00,2021-08-02T22:00:00-04:00,18840.668,18157,18313.83398
23,23,2021-08-03T03:00:00+00:00,2021-08-02T23:00:00-04:00,17005.352,16811,16756.67578
0,0,2021-08-03T04:00:00+00:00,2021-08-03T00:00:00-04:00,16420.363,15744,15908.18164
1,1,2021-08-03T05:00:00+00:00,2021-08-03T01:00:00-04:00,15259.012,15003,14960.50586
2,2,2021-08-03T06:00:00+00:00,2021-08-03T02:00:00-04:00,14516.281,14436,14337.64063
3,3,2021-08-03T07:00:00+00:00,2021-08-03T03:00:00-04:00,14310.181,14151,14093.09033
4,4,2021-08-03T08:00:00+00:00,2021-08-03T04:00:00-04:00,14200.94,14160,14059.97021
5,5,2021-08-03T09:00:00+00:00,2021-08-03T05:00:00-04:00,14763.753,14658,14570.37646
6,6,2021-08-03T10:00:00+00:00,2021-08-03T06:00:00-04:00,15866.803,15577,15547.90137
7,7,2021-08-03T11:00:00+00:00,2021-08-03T07:00:00-04:00,17174.264,16620,16711.63184
8,8,2021-08-03T12:00:00+00:00,2021-08-03T08:00:00-04:00,17819.658,17389,17483.8291
9,9,2021-08-03T13:00:00+00:00,2021-08-03T09:00:00-04:00,18103.041,17936,17919.02051
10,10,2021-08-03T14:00:00+00:00,2021-08-03T10:00:00-04:00,18355.96,18404,18307.98047
11,11,2021-08-03T15:00:00+00:00,2021-08-03T11:00:00-04:00,18720.426,18790,18789.71289
12,12,2021-08-03T16:00:00+00:00,2021-08-03T12:00:00-04:00,19802.111,19147,19596.55566
13,13,2021-08-03T17:00:00+00:00,2021-08-03T13:00:00-04:00,19914.232,19497,19938.61621
14,14,2021-08-03T18:00:00+00:00,2021-08-03T14:00:00-04:00,20734.777,19885,20569.38867
15,15,2021-08-03T19:00:00+00:00,2021-08-03T15:00:00-04:00,21049.025,20287,20943.0127
16,16,2021-08-03T20:00:00+00:00,2021-08-03T16:00:00-04:00,21759.629,20646,21438.31445
17,17,2021-08-03T21:00:00+00:00,2021-08-03T17:00:00-04:00,22115.672,20925,21696.83594
18,18,2021-08-03T22:00:00+00:00,2021-08-03T18:00:00-04:00,22013.445,20674,21443.72266
19,19,2021-08-03T23:00:00+00:00,2021-08-03T19:00:00-04:00,20990.316,20234,20632.6582
20,20,2021-08-04T00:00:00+00:00,2021-08-03T20:00:00-04:00,20271.32,19889,20159.66016
21,21,2021-08-04T01:00:00+00:00,2021-08-03T21:00:00-04:00,19437.217,19293,19375.1084
22,22,2021-08-04T02:00:00+00:00,2021-08-03T22:00:00-04:00,18438.027,18121,18260.51367
23,23,2021-08-04T03:00:00+00:00,2021-08-03T23:00:00-04:00,17293.738,16859,17059.36914
0,0,2021-08-04T04:00:00+00:00,2021-08-04T00:00:00-04:00,16677.877,15883,16194.43848
1,1,2021-08-04T05:00:00+00:00,2021-08-04T01:00:00-04:00,15790.659,15158,15389.82959
2,2,2021-08-04T06:00:00+00:00,2021-08-04T02:00:00-04:00,15034.908,14667,14768.9541
3,3,2021-08-04T07:00:00+00:00,2021-08-04T03:00:00-04:00,14722.963,14379,14476.48145
4,4,2021-08-04T08:00:00+00:00,2021-08-04T04:00:00-04:00,14383.399,14427,14323.19971
5,5,2021-08-04T09:00:00+00:00,2021-08-04T05:00:00-04:00,14771.059,14935,14764.0293
6,6,2021-08-04T10:00:00+00:00,2021-08-04T06:00:00-04:00,15752.686,15774,15694.84277
7,7,2021-08-04T11:00:00+00:00,2021-08-04T07:00:00-04:00,17299.025,16915,17040.5127
8,8,2021-08-04T12:00:00+00:00,2021-08-04T08:00:00-04:00,17742.586,17882,17767.29297
9,9,2021-08-04T13:00:00+00:00,2021-08-04T09:00:00-04:00,18626.805,18539,18551.40234
10,10,2021-08-04T14:00:00+00:00,2021-08-04T10:00:00-04:00,19157.955,19039,19097.47754
11,11,2021-08-04T15:00:00+00:00,2021-08-04T11:00:00-04:00,19671.293,19418,19642.14648
12,12,2021-08-04T16:00:00+00:00,2021-08-04T12:00:00-04:00,19735.555,19825,19933.27734
13,13,2021-08-04T17:00:00+00:00,2021-08-04T13:00:00-04:00,20034.158,20209,20333.0791
14,14,2021-08-04T18:00:00+00:00,2021-08-04T14:00:00-04:00,20714.725,20392,20872.3623
15,15,2021-08-04T19:00:00+00:00,2021-08-04T15:00:00-04:00,21428.607,20445,21419.30371
16,16,2021-08-04T20:00:00+00:00,2021-08-04T16:00:00-04:00,22356.45,20724,21984.22461
17,17,2021-08-04T21:00:00+00:00,2021-08-04T17:00:00-04:00,22743.037,20892,22186.51855
18,18,2021-08-04T22:00:00+00:00,2021-08-04T18:00:00-04:00,23120.367,20699,22157.68359
19,19,2021-08-04T23:00:00+00:00,2021-08-04T19:00:00-04:00,22482.479,20316,21528.23926
20,20,2021-08-05T00:00:00+00:00,2021-08-04T20:00:00-04:00,22251.102,19968,21251.55078
21,21,2021-08-05T01:00:00+00:00,2021-08-04T21:00:00-04:00,21584.86,19316,20563.92969
22,22,2021-08-05T02:00:00+00:00,2021-08-04T22:00:00-04:00,19368.877,18215,18807.43848
23,23,2021-08-05T03:00:00+00:00,2021-08-04T23:00:00-04:00,17664.938,17010,17278.96875
0,0,2021-08-05T04:00:00+00:00,2021-08-05T00:00:00-04:00,16059.392,15996,15827.1958
1,1,2021-08-05T05:00:00+00:00,2021-08-05T01:00:00-04:00,15158.771,15289,15029.88574
2,2,2021-08-05T06:00:00+00:00,2021-08-05T02:00:00-04:00,14821.006,14812,14618.50293
3,3,2021-08-05T07:00:00+00:00,2021-08-05T03:00:00-04:00,14517.13,14538,14336.06494
4,4,2021-08-05T08:00:00+00:00,2021-08-05T04:00:00-04:00,14466.518,14607,14336.25879
5,5,2021-08-05T09:00:00+00:00,2021-08-05T05:00:00-04:00,15000.778,15129,14857.38916
6,6,2021-08-05T10:00:00+00:00,2021-08-05T06:00:00-04:00,15941.273,16088,15756.63672
7,7,2021-08-05T11:00:00+00:00,2021-08-05T07:00:00-04:00,17516.996,17195,17091.99805
8,8,2021-08-05T12:00:00+00:00,2021-08-05T08:00:00-04:00,18118.861,18085,17874.93066
9,9,2021-08-05T13:00:00+00:00,2021-08-05T09:00:00-04:00,18598.484,18661,18455.24219
10,10,2021-08-05T14:00:00+00:00,2021-08-05T10:00:00-04:00,19092.12,19167,18999.55957
11,11,2021-08-05T15:00:00+00:00,2021-08-05T11:00:00-04:00,19928.72,19669,19737.86035
12,12,2021-08-05T16:00:00+00:00,2021-08-05T12:00:00-04:00,20901.736,20221,20524.36816
13,13,2021-08-05T17:00:00+00:00,2021-08-05T13:00:00-04:00,21420.7,20850,21102.34961
14,14,2021-08-05T18:00:00+00:00,2021-08-05T14:00:00-04:00,22122.469,21400,21705.23438
15,15,2021-08-05T19:00:00+00:00,2021-08-05T15:00:00-04:00,22273.99,21976,21995.49512
16,16,2021-08-05T20:00:00+00:00,2021-08-05T16:00:00-04:00,22823.455,22484,22418.22754
17,17,2021-08-05T21:00:00+00:00,2021-08-05T17:00:00-04:00,23031.822,22836,22580.41113
18,18,2021-08-05T22:00:00+00:00,2021-08-05T18:00:00-04:00,22858.922,22652,22320.46094
19,19,2021-08-05T23:00:00+00:00,2021-08-05T19:00:00-04:00,22705.723,22012,21959.36133
20,20,2021-08-06T00:00:00+00:00,2021-08-05T20:00:00-04:00,22257.451,21437,21567.22559
21,21,2021-08-06T01:00:00+00:00,2021-08-05T21:00:00-04:00,21465.375,20759,20810.6875
22,22,2021-08-06T02:00:00+00:00,2021-08-05T22:00:00-04:00,20661.703,19527,19771.85156
23,23,2021-08-06T03:00:00+00:00,2021-08-05T23:00:00-04:00,18476.174,18237,17993.08691
0,0,2021-08-06T04:00:00+00:00,2021-08-06T00:00:00-04:00,17333.646,17101,16965.32324
1,1,2021-08-06T05:00:00+00:00,2021-08-06T01:00:00-04:00,16392.094,16270,16100.04688
2,2,2021-08-06T06:00:00+00:00,2021-08-06T02:00:00-04:00,15669.96,15671,15448.97998
3,3,2021-08-06T07:00:00+00:00,2021-08-06T03:00:00-04:00,15365.268,15285,15115.63379
4,4,2021-08-06T08:00:00+00:00,2021-08-06T04:00:00-04:00,15208.55,15234,15019.7749
5,5,2021-08-06T09:00:00+00:00,2021-08-06T05:00:00-04:00,15508.446,15659,15371.22314
6,6,2021-08-06T10:00:00+00:00,2021-08-06T06:00:00-04:00,16373.994,16480,16173.49707
7,7,2021-08-06T11:00:00+00:00,2021-08-06T07:00:00-04:00,17751.01,17804,17449.50488
8,8,2021-08-06T12:00:00+00:00,2021-08-06T08:00:00-04:00,18730.262,19005,18501.63086
9,9,2021-08-06T13:00:00+00:00,2021-08-06T09:00:00-04:00,19198.564,20028,19166.78223
10,10,2021-08-06T14:00:00+00:00,2021-08-06T10:00:00-04:00,20050.807,21077,20017.40332
11,11,2021-08-06T15:00:00+00:00,2021-08-06T11:00:00-04:00,20741.455,22111,20774.22754
12,12,2021-08-06T16:00:00+00:00,2021-08-06T12:00:00-04:00,22402.18,23068,21990.58984
