,Unnamed: 0,utc_datetime,local_datetime,value,live,ensemblevalue
0,0,2021-09-10T04:00:00+00:00,2021-09-10T00:00:00-04:00,16382.631,15511.0,15750.3154296875
1,1,2021-09-10T05:00:00+00:00,2021-09-10T01:00:00-04:00,15342.738,14788.0,14922.869140625
2,2,2021-09-10T06:00:00+00:00,2021-09-10T02:00:00-04:00,14805.39,14312.0,14431.69482421875
3,3,2021-09-10T07:00:00+00:00,2021-09-10T03:00:00-04:00,14456.018,14027.0,14122.0087890625
4,4,2021-09-10T08:00:00+00:00,2021-09-10T04:00:00-04:00,14389.42,14033.0,14090.2099609375
5,5,2021-09-10T09:00:00+00:00,2021-09-10T05:00:00-04:00,14864.109,14591.0,14578.5546875
6,6,2021-09-10T10:00:00+00:00,2021-09-10T06:00:00-04:00,16152.535,15751.0,15783.767578125
7,7,2021-09-10T11:00:00+00:00,2021-09-10T07:00:00-04:00,17261.346,16601.0,16765.1728515625
8,8,2021-09-10T12:00:00+00:00,2021-09-10T08:00:00-04:00,17993.652,17272.0,17424.326171875
9,9,2021-09-10T13:00:00+00:00,2021-09-10T09:00:00-04:00,18232.71,17595.0,17739.85546875
10,10,2021-09-10T14:00:00+00:00,2021-09-10T10:00:00-04:00,18563.408,17744.0,18016.7041015625
11,11,2021-09-10T15:00:00+00:00,2021-09-10T11:00:00-04:00,18961.916,17927.0,18312.9580078125
12,12,2021-09-10T16:00:00+00:00,2021-09-10T12:00:00-04:00,19687.81,18048.0,18768.4052734375
13,13,2021-09-10T17:00:00+00:00,2021-09-10T13:00:00-04:00,19706.145,18218.0,18915.072265625
14,14,2021-09-10T18:00:00+00:00,2021-09-10T14:00:00-04:00,19760.93,18409.0,19036.46484375
15,15,2021-09-10T19:00:00+00:00,2021-09-10T15:00:00-04:00,19823.562,18673.0,19239.78125
16,16,2021-09-10T20:00:00+00:00,2021-09-10T16:00:00-04:00,20161.209,18937.0,19520.1044921875
17,17,2021-09-10T21:00:00+00:00,2021-09-10T17:00:00-04:00,20497.518,19067.0,19669.7587890625
18,18,2021-09-10T22:00:00+00:00,2021-09-10T18:00:00-04:00,20474.355,18729.0,19429.677734375
19,19,2021-09-10T23:00:00+00:00,2021-09-10T19:00:00-04:00,19338.516,18413.0,18785.7578125
20,20,2021-09-11T00:00:00+00:00,2021-09-10T20:00:00-04:00,18971.389,17963.0,18378.1943359375
21,21,2021-09-11T01:00:00+00:00,2021-09-10T21:00:00-04:00,18180.549,17177.0,17585.2744140625
22,22,2021-09-11T02:00:00+00:00,2021-09-10T22:00:00-04:00,16824.736,16225.0,16442.8681640625
23,23,2021-09-11T03:00:00+00:00,2021-09-10T23:00:00-04:00,15459.793,15237.0,15292.396484375
0,0,2021-09-11T04:00:00+00:00,2021-09-11T00:00:00-04:00,14649.594,14350.0,14505.796875
1,1,2021-09-11T05:00:00+00:00,2021-09-11T01:00:00-04:00,14043.851,13733.0,13908.92529296875
2,2,2021-09-11T06:00:00+00:00,2021-09-11T02:00:00-04:00,13477.909,13335.0,13418.95458984375
3,3,2021-09-11T07:00:00+00:00,2021-09-11T03:00:00-04:00,13162.356,13082.0,13115.67822265625
4,4,2021-09-11T08:00:00+00:00,2021-09-11T04:00:00-04:00,12943.237,13023.0,12944.61865234375
5,5,2021-09-11T09:00:00+00:00,2021-09-11T05:00:00-04:00,13058.236,13207.0,13043.1181640625
6,6,2021-09-11T10:00:00+00:00,2021-09-11T06:00:00-04:00,13658.002,13639.0,13486.5009765625
7,7,2021-09-11T11:00:00+00:00,2021-09-11T07:00:00-04:00,14224.39,14206.0,13989.69482421875
8,8,2021-09-11T12:00:00+00:00,2021-09-11T08:00:00-04:00,14873.1,14812.0,14656.0498046875
9,9,2021-09-11T13:00:00+00:00,2021-09-11T09:00:00-04:00,15438.48,15280.0,15196.740234375
